Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves,52,241.4,39.2,87.3,.449,11.5,32.5,.353,27.7,54.8,.505,17.3,21.9,.789,10.1,30.2,40.3,24.5,7.6,4.9,13.9,20.3,107.1
Cleveland Cavaliers,50,241.0,39.8,87.7,.454,12.1,33.9,.357,27.7,53.8,.515,17.6,22.4,.783,10.2,32.0,42.1,24.3,7.7,5.1,14.1,19.2,109.3
New York Knicks,52,240.0,40.7,86.9,.468,12.9,35.1,.366,27.8,51.8,.537,15.4,20.2,.763,10.0,30.5,40.4,26.0,6.6,5.4,12.9,19.8,109.6
Orlando Magic,52,241.4,40.6,84.9,.478,11.6,32.7,.355,28.9,52.1,.555,18.0,23.8,.759,9.3,31.7,41.0,24.1,8.0,4.9,15.3,21.8,110.8
Miami Heat,52,240.5,40.8,86.2,.474,13.5,36.9,.365,27.3,49.2,.555,15.7,20.5,.766,9.4,33.6,43.0,26.8,7.1,4.9,13.9,19.5,110.8
Denver Nuggets,53,240.0,40.8,87.1,.469,11.4,31.2,.364,29.5,55.9,.528,17.9,22.7,.788,10.6,31.1,41.7,25.5,6.9,5.0,12.1,18.7,111.0
Boston Celtics,52,242.4,41.8,92.9,.449,13.3,37.9,.350,28.5,55.0,.518,14.3,19.0,.754,11.3,32.9,44.3,25.0,6.7,3.8,11.8,18.4,111.1
Los Angeles Clippers,50,240.5,41.2,88.6,.465,12.6,35.1,.358,28.7,53.5,.536,17.4,22.4,.777,11.1,30.5,41.6,26.1,7.0,4.6,13.5,19.6,112.4
Houston Rockets,51,242.5,40.4,87.7,.460,12.4,35.7,.346,28.0,52.0,.539,19.5,26.0,.750,10.3,33.9,44.2,24.5,7.3,5.7,13.5,20.1,112.6
Chicago Bulls,52,243.4,40.6,86.4,.470,14.4,39.0,.368,26.2,47.3,.553,17.2,22.0,.783,10.0,33.5,43.5,27.9,6.7,4.8,14.3,18.9,112.8
New Orleans Pelicans,52,240.5,41.0,88.0,.466,13.4,38.9,.345,27.6,49.1,.561,17.5,22.3,.787,10.1,32.2,42.3,26.9,6.5,5.2,13.9,19.2,113.0
Oklahoma City Thunder,51,242.0,40.3,89.5,.450,13.5,37.3,.364,26.7,52.3,.511,19.0,24.1,.788,12.5,32.5,45.0,26.9,6.9,5.3,15.7,19.3,113.0
Memphis Grizzlies,52,241.0,41.1,86.9,.473,13.2,34.7,.380,27.9,52.2,.535,17.9,22.6,.789,10.3,35.5,45.8,26.1,7.9,6.5,15.0,18.8,113.3
Philadelphia 76ers,51,241.0,41.4,87.7,.472,11.7,33.4,.349,29.7,54.3,.548,19.5,24.8,.786,11.4,32.8,44.2,26.4,5.9,6.0,14.5,20.1,113.9
Phoenix Suns,52,241.4,42.2,90.3,.467,13.0,35.5,.367,29.2,54.8,.533,17.0,22.0,.771,11.2,29.5,40.7,26.1,8.0,4.8,12.9,20.7,114.4
Brooklyn Nets,51,241.5,41.9,89.3,.469,13.4,35.2,.381,28.5,54.1,.527,18.2,22.4,.812,10.4,34.4,44.8,25.7,6.6,5.0,12.3,18.3,115.4
Portland Trail Blazers,51,242.9,43.3,87.5,.494,11.5,33.4,.345,31.7,54.1,.587,18.8,23.7,.794,10.9,33.7,44.6,27.6,8.5,6.3,14.7,18.6,116.9
Los Angeles Lakers,54,241.9,43.9,92.7,.473,14.2,37.8,.377,29.6,54.9,.539,15.2,19.1,.797,10.8,33.6,44.3,27.7,8.1,4.8,13.6,20.1,117.1
Toronto Raptors,52,241.9,44.2,90.6,.487,13.3,35.2,.378,30.9,55.4,.557,15.9,19.8,.804,10.7,33.4,44.1,28.0,6.7,5.2,13.6,18.5,117.5
Sacramento Kings,51,242.5,42.8,87.9,.487,13.6,34.4,.396,29.2,53.5,.545,18.7,23.2,.805,9.1,33.7,42.8,27.6,7.3,4.7,14.0,19.0,117.9
Golden State Warriors,49,243.1,42.7,90.7,.471,13.0,36.6,.357,29.7,54.1,.548,19.4,24.4,.796,10.8,32.0,42.7,26.1,7.9,4.8,12.6,19.5,117.9
Dallas Mavericks,52,240.0,43.8,90.2,.486,13.1,35.6,.369,30.7,54.6,.562,17.3,22.8,.759,11.4,34.2,45.6,27.6,7.2,3.9,13.8,21.4,118.1
Milwaukee Bucks,53,241.4,44.3,93.3,.474,12.1,34.3,.352,32.2,59.0,.546,18.7,23.1,.813,10.8,33.4,44.2,26.4,6.8,4.2,12.0,20.4,119.3
Utah Jazz,53,242.4,44.3,92.1,.481,14.2,36.9,.385,30.1,55.1,.546,17.0,22.0,.771,10.9,30.9,41.8,29.2,8.6,6.5,12.4,20.2,119.9
Charlotte Hornets,51,241.0,44.1,87.5,.504,13.8,34.7,.397,30.4,52.8,.574,18.4,23.1,.797,10.0,35.3,45.2,28.7,7.0,5.3,13.5,17.7,120.4
San Antonio Spurs,52,241.0,44.9,91.4,.491,13.6,35.2,.385,31.3,56.2,.557,17.6,22.7,.775,10.9,35.1,46.0,28.3,8.5,4.5,13.6,18.5,120.9
Detroit Pistons,51,241.5,44.5,89.9,.495,11.9,31.4,.380,32.6,58.6,.556,21.4,26.3,.813,9.8,32.6,42.4,26.7,8.7,5.9,11.7,19.0,122.3
Indiana Pacers,53,240.0,45.2,89.8,.503,10.9,29.0,.377,34.3,60.8,.563,21.3,26.9,.792,11.1,31.8,42.9,24.8,6.9,5.8,14.2,18.8,122.7
