Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,53,240.0,46.8,92.5,.507,13.7,35.9,.380,33.2,56.6,.587,16.7,21.3,.784,10.2,30.6,40.8,30.9,7.8,5.9,13.5,22.2,124.0
Milwaukee Bucks,53,241.4,44.3,89.5,.495,14.2,37.8,.377,30.0,51.6,.582,20.1,26.1,.770,9.4,34.6,44.0,26.8,6.8,5.2,12.8,20.2,122.9
Atlanta Hawks,52,241.9,43.8,93.7,.467,13.8,38.0,.364,30.0,55.7,.538,20.3,24.9,.813,13.0,31.9,44.9,26.2,7.7,4.4,13.4,18.8,121.7
Oklahoma City Thunder,51,242.0,44.6,89.0,.501,13.3,33.9,.392,31.3,55.1,.568,18.3,22.0,.830,8.7,32.7,41.4,27.3,8.2,6.6,12.6,19.5,120.8
Boston Celtics,52,242.4,43.4,90.6,.479,16.2,42.8,.377,27.2,47.8,.569,17.8,21.9,.811,10.8,36.7,47.5,26.0,6.5,6.6,12.6,17.1,120.6
Golden State Warriors,49,243.1,43.3,91.3,.474,14.8,39.4,.376,28.5,51.9,.549,17.7,22.4,.791,12.3,34.2,46.6,28.5,6.6,4.2,14.6,20.7,119.2
Sacramento Kings,51,242.5,43.8,90.9,.483,15.0,40.2,.372,28.9,50.6,.570,16.0,21.9,.731,10.2,32.9,43.1,28.8,7.2,3.9,13.4,20.0,118.7
Philadelphia 76ers,51,241.0,42.3,89.5,.473,11.4,31.7,.361,30.9,57.8,.535,22.4,26.9,.832,11.2,32.0,43.2,24.7,8.8,6.0,11.9,20.9,118.5
Los Angeles Clippers,50,240.5,43.3,87.4,.496,13.2,33.2,.399,30.1,54.1,.556,18.6,23.0,.812,10.3,32.8,43.2,26.2,8.1,5.3,13.0,19.4,118.5
Dallas Mavericks,52,240.0,42.6,89.6,.476,15.2,40.6,.374,27.4,48.9,.560,17.8,23.5,.758,9.9,31.6,41.5,25.4,6.6,4.3,12.3,19.0,118.3
Utah Jazz,53,242.4,42.7,90.7,.471,13.2,36.9,.358,29.5,53.8,.549,19.2,23.4,.820,12.8,33.9,46.7,28.4,6.7,6.0,15.8,19.2,117.8
Phoenix Suns,52,241.4,42.8,85.6,.500,11.9,31.4,.380,30.9,54.2,.569,20.0,24.8,.808,9.8,33.3,43.1,26.7,7.3,5.9,14.8,18.6,117.5
New Orleans Pelicans,52,240.5,43.1,88.2,.489,12.2,32.1,.379,31.0,56.1,.552,18.6,24.3,.766,11.0,33.4,44.4,27.0,8.2,4.8,13.2,19.3,117.0
Los Angeles Lakers,54,241.9,43.1,87.5,.492,11.3,30.6,.368,31.8,56.9,.559,19.1,24.6,.773,8.3,34.4,42.7,28.3,7.9,5.6,13.8,16.4,116.5
New York Knicks,52,240.0,41.8,89.3,.468,13.1,35.4,.370,28.8,54.0,.533,18.3,23.3,.786,12.7,33.6,46.3,24.1,7.4,3.9,13.2,18.2,115.1
Washington Wizards,51,240.0,43.3,91.1,.475,12.1,34.5,.350,31.2,56.6,.552,16.2,21.0,.769,9.1,31.4,40.5,28.0,7.8,5.4,13.7,20.0,114.8
Cleveland Cavaliers,50,241.0,42.7,88.6,.482,13.4,37.0,.362,29.3,51.6,.567,16.0,20.7,.772,10.7,34.5,45.1,26.9,7.7,4.8,13.6,18.6,114.8
Denver Nuggets,53,240.0,43.7,88.7,.493,11.5,31.1,.371,32.2,57.6,.559,15.6,20.7,.755,11.1,33.0,44.0,28.8,6.8,5.4,12.6,18.6,114.6
