Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,52,12555,39.9,89.0,.449,11.7,33.2,.353,28.2,55.8,.505,17.6,22.3,.789,10.3,30.8,41.1,24.9,7.7,5.0,14.2,20.6,109.1
Cleveland Cavaliers,50,12050,40.4,88.9,.454,12.3,34.4,.357,28.1,54.5,.515,17.8,22.7,.783,10.3,32.4,42.7,24.6,7.8,5.1,14.2,19.5,110.8
Boston Celtics,52,12605,42.0,93.5,.449,13.4,38.2,.350,28.6,55.3,.518,14.4,19.1,.754,11.4,33.1,44.5,25.1,6.7,3.8,11.9,18.5,111.8
Orlando Magic,52,12555,41.1,85.9,.478,11.8,33.1,.355,29.3,52.8,.555,18.2,24.0,.759,9.4,32.1,41.5,24.4,8.1,4.9,15.5,22.0,112.2
Oklahoma City Thunder,51,12340,40.1,89.3,.450,13.5,37.1,.364,26.6,52.1,.511,18.9,24.0,.788,12.5,32.4,44.9,26.8,6.9,5.3,15.6,19.2,112.7
Houston Rockets,51,12365,40.4,87.8,.460,12.4,35.8,.346,28.1,52.1,.539,19.5,26.0,.750,10.3,33.9,44.2,24.5,7.3,5.8,13.5,20.1,112.7
New York Knicks,52,12480,42.1,89.8,.468,13.3,36.3,.366,28.8,53.5,.537,15.9,20.8,.763,10.3,31.5,41.8,26.9,6.9,5.6,13.4,20.5,113.3
Miami Heat,52,12505,42.0,88.7,.474,13.9,38.0,.365,28.1,50.7,.555,16.1,21.1,.766,9.7,34.6,44.3,27.6,7.3,5.0,14.3,20.1,114.0
New Orleans Pelicans,52,12505,41.4,88.9,.466,13.6,39.3,.345,27.8,49.6,.561,17.7,22.5,.787,10.2,32.5,42.7,27.2,6.6,5.2,14.0,19.4,114.1
Memphis Grizzlies,52,12530,41.5,87.6,.473,13.3,35.0,.380,28.1,52.6,.535,18.0,22.8,.789,10.4,35.7,46.2,26.3,8.0,6.5,15.1,19.0,114.2
Los Angeles Clippers,50,12025,42.1,90.4,.465,12.8,35.8,.358,29.3,54.6,.536,17.7,22.8,.777,11.3,31.1,42.4,26.6,7.1,4.7,13.8,20.0,114.8
Philadelphia 76ers,51,12290,41.7,88.4,.472,11.8,33.7,.349,30.0,54.7,.548,19.6,25.0,.786,11.5,33.1,44.6,26.6,6.0,6.0,14.6,20.2,114.8
Denver Nuggets,53,12720,42.3,90.1,.469,11.8,32.3,.364,30.5,57.8,.528,18.5,23.5,.788,11.0,32.2,43.2,26.4,7.2,5.1,12.6,19.3,114.9
Los Angeles Lakers,54,13060,43.1,91.2,.473,14.0,37.2,.377,29.1,54.0,.539,15.0,18.8,.797,10.6,33.0,43.6,27.2,8.0,4.7,13.4,19.8,115.2
Chicago Bulls,52,12655,41.5,88.4,.470,14.7,39.9,.368,26.8,48.4,.553,17.6,22.5,.783,10.2,34.3,44.5,28.5,6.9,4.9,14.7,19.3,115.4
Phoenix Suns,52,12555,42.7,91.3,.467,13.2,35.9,.367,29.5,55.4,.533,17.2,22.3,.771,11.3,29.8,41.1,26.4,8.1,4.8,13.0,20.9,115.7
Sacramento Kings,51,12365,42.4,87.0,.487,13.5,34.0,.396,28.9,53.0,.545,18.5,22.9,.805,9.0,33.4,42.4,27.3,7.2,4.7,13.9,18.8,116.7
Milwaukee Bucks,53,12795,43.4,91.4,.474,11.8,33.6,.352,31.6,57.8,.546,18.4,22.6,.813,10.6,32.7,43.3,25.9,6.6,4.1,11.7,20.0,116.9
Brooklyn Nets,51,12315,42.5,90.6,.469,13.6,35.7,.381,28.9,54.9,.527,18.5,22.8,.812,10.6,34.9,45.5,26.1,6.7,5.1,12.5,18.6,117.1
Golden State Warriors,49,11910,42.4,90.1,.471,13.0,36.3,.357,29.5,53.8,.548,19.3,24.3,.796,10.7,31.8,42.5,26.0,7.9,4.8,12.5,19.4,117.2
Portland Trail Blazers,51,12390,43.7,88.3,.494,11.6,33.7,.345,32.0,54.6,.587,19.0,23.9,.794,11.0,34.0,45.0,27.8,8.6,6.3,14.9,18.8,117.9
Dallas Mavericks,52,12480,43.8,90.1,.486,13.1,35.6,.369,30.7,54.6,.562,17.3,22.8,.759,11.4,34.2,45.6,27.6,7.2,3.9,13.8,21.4,118.0
Toronto Raptors,52,12580,44.4,91.0,.487,13.4,35.3,.378,31.0,55.7,.557,16.0,19.8,.804,10.7,33.5,44.3,28.2,6.7,5.3,13.6,18.6,118.1
San Antonio Spurs,52,12530,44.0,89.7,.491,13.3,34.6,.385,30.7,55.1,.557,17.2,22.2,.775,10.7,34.4,45.1,27.7,8.4,4.4,13.4,18.1,118.6
Utah Jazz,53,12845,44.0,91.3,.481,14.1,36.6,.385,29.9,54.7,.546,16.9,21.9,.771,10.9,30.6,41.5,29.0,8.5,6.5,12.3,20.0,118.9
Indiana Pacers,53,12720,44.2,87.8,.503,10.7,28.3,.377,33.5,59.4,.563,20.8,26.3,.792,10.8,31.1,41.9,24.3,6.7,5.6,13.9,18.3,119.8
Washington Wizards,51,12240,45.0,90.5,.497,12.2,32.8,.373,32.7,57.6,.568,18.3,23.6,.776,12.4,35.5,48.0,28.9,7.6,5.4,14.2,17.8,120.4
Atlanta Hawks,52,12580,44.9,89.5,.502,13.7,35.4,.387,31.2,54.0,.578,17.6,22.3,.790,10.9,32.6,43.5,28.1,7.8,5.5,14.1,20.0,121.2
Detroit Pistons,51,12315,44.1,89.2,.495,11.8,31.1,.380,32.3,58.1,.556,21.2,26.1,.813,9.7,32.3,42.0,26.5,8.6,5.9,11.6,18.8,121.3
Charlotte Hornets,51,12290,44.7,88.7,.504,13.9,35.1,.397,30.8,53.5,.574,18.6,23.4,.797,10.1,35.7,45.8,29.1,7.1,5.4,13.6,18.0,122.0
