Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,52,12605,43.6,91.1,.479,16.2,43.1,.377,27.4,48.1,.569,17.9,22.0,.811,10.9,36.9,47.8,26.1,6.5,6.6,12.7,17.2,121.3
Indiana Pacers,53,12720,45.8,90.3,.507,13.3,35.1,.380,32.4,55.3,.587,16.3,20.8,.784,10.0,29.9,39.9,30.2,7.6,5.8,13.2,21.7,121.2
Los Angeles Clippers,50,12025,44.2,89.2,.496,13.5,33.9,.399,30.7,55.3,.556,19.0,23.4,.812,10.5,33.5,44.1,26.8,8.2,5.4,13.3,19.8,121.0
Oklahoma City Thunder,51,12340,44.5,88.8,.501,13.3,33.8,.392,31.2,55.0,.568,18.2,21.9,.830,8.7,32.6,41.3,27.2,8.2,6.6,12.6,19.5,120.4
Milwaukee Bucks,53,12795,43.4,87.7,.495,14.0,37.1,.377,29.4,50.6,.582,19.7,25.6,.770,9.2,33.9,43.1,26.2,6.7,5.1,12.5,19.8,120.4
Philadelphia 76ers,51,12290,42.7,90.2,.473,11.5,31.9,.361,31.1,58.3,.535,22.6,27.2,.832,11.3,32.3,43.5,24.9,8.9,6.0,12.0,21.0,119.5
Atlanta Hawks,52,12580,42.8,91.7,.467,13.5,37.2,.364,29.3,54.5,.538,19.8,24.4,.813,12.7,31.2,43.9,25.6,7.5,4.3,13.2,18.4,119.0
New York Knicks,52,12480,43.2,92.4,.468,13.5,36.6,.370,29.7,55.8,.533,19.0,24.1,.786,13.1,34.7,47.8,24.9,7.6,4.1,13.6,18.8,119.0
Phoenix Suns,52,12555,43.3,86.5,.500,12.1,31.7,.380,31.2,54.8,.569,20.2,25.0,.808,9.9,33.7,43.6,27.0,7.4,6.0,14.9,18.8,118.8
Denver Nuggets,53,12720,45.2,91.8,.493,11.9,32.2,.371,33.3,59.6,.559,16.2,21.4,.755,11.4,34.1,45.6,29.8,7.0,5.6,13.1,19.3,118.6
Golden State Warriors,49,11910,43.0,90.8,.474,14.7,39.2,.376,28.3,51.6,.549,17.6,22.2,.791,12.3,34.0,46.3,28.3,6.6,4.2,14.5,20.6,118.4
Dallas Mavericks,52,12480,42.6,89.5,.476,15.2,40.6,.374,27.4,48.9,.560,17.8,23.5,.758,9.9,31.6,41.5,25.4,6.6,4.3,12.3,19.0,118.3
New Orleans Pelicans,52,12505,43.6,89.1,.489,12.3,32.4,.379,31.3,56.7,.552,18.8,24.5,.766,11.1,33.7,44.8,27.3,8.3,4.8,13.3,19.4,118.2
Sacramento Kings,51,12365,43.4,89.9,.483,14.8,39.8,.372,28.6,50.1,.570,15.9,21.7,.731,10.1,32.6,42.7,28.5,7.2,3.8,13.3,19.8,117.5
Utah Jazz,53,12845,42.4,89.9,.471,13.1,36.6,.358,29.3,53.4,.549,19.0,23.2,.820,12.7,33.6,46.4,28.2,6.6,6.0,15.7,19.1,116.9
Cleveland Cavaliers,50,12050,43.3,89.8,.482,13.6,37.5,.362,29.7,52.3,.567,16.2,21.0,.772,10.8,34.9,45.7,27.3,7.8,4.8,13.8,18.9,116.4
Minnesota Timberwolves,52,12555,42.0,85.8,.489,12.9,32.6,.394,29.2,53.2,.548,18.7,24.1,.777,9.3,35.4,44.6,26.9,7.6,5.9,15.2,19.9,115.6
Brooklyn Nets,51,12315,42.5,92.6,.459,14.0,38.4,.365,28.5,54.2,.526,16.3,21.5,.759,12.1,33.5,45.6,27.1,7.0,5.5,12.8,19.4,115.4
Toronto Raptors,52,12580,43.1,90.1,.479,11.9,33.0,.360,31.2,57.0,.547,16.8,22.4,.748,11.3,32.3,43.6,29.5,7.6,4.9,13.4,18.6,114.9
Los Angeles Lakers,54,13060,42.4,86.1,.492,11.1,30.1,.368,31.3,55.9,.559,18.7,24.2,.773,8.1,33.9,42.0,27.9,7.8,5.5,13.6,16.1,114.6
Chicago Bulls,52,12655,42.5,91.1,.467,12.0,33.4,.359,30.5,57.7,.529,17.1,21.6,.792,11.3,33.2,44.5,25.0,7.9,5.5,12.8,19.6,114.1
Miami Heat,52,12505,40.7,88.0,.462,12.7,34.2,.372,28.0,53.9,.520,19.6,23.9,.822,9.9,33.4,43.3,26.6,7.5,3.3,13.4,18.8,113.7
